acl 2.3.1-3
acpilight 1.2-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.0-1
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amd-ucode 20230404.2e92a49f-1
aom 3.6.0-1
archlinux-keyring 20230504-1
argon2 20190702-5
at-spi2-core 2.48.0-2
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 0.8+22+gfd482a7-4
base 3-1
base-devel 1-1
bash 5.1.016-3
binutils 2.40-5
bison 3.8.2-5
bluez-libs 5.66-1
boost-libs 1.81.0-5
box2d 2.4.1-1
brotli 1.0.9-12
btrfs-progs 6.3-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.89.1-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
chrono-date 3.0.1-3
clucene 2.3.3.4-14
cmake 3.26.3-1
code 1.78.0-1
coreutils 9.3-1
cpio 2.13-3
cryptsetup 2.6.1-3
curl 8.0.1-1
dav1d 1.2.0-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dialog 1:1.3_20230209-1
diffutils 3.9-1
djvulibre 3.5.28-4
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.2.1-1
duktape 2.7.0-5
dunst 1.9.2-1
e2fsprogs 1.47.0-1
efibootmgr 18-2
efivar 38-3
electron 22.3.3-1
electron19 19.1.9-5
enchant 2.3.4-1
evince 44.1-1
expat 2.5.0-1
fakeroot 1.31-2
ffcall 2.4-2
ffmpeg 2:6.0-5
fftw 3.3.10-4
file 5.44-3
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 112.0.2-2
flac 1.4.2-1
flex 2.6.4-5
fmt 9.1.0-4
fontconfig 2:2.14.2-1
freetype2 2.13.0-1
fribidi 1.0.12-1
fuse-common 3.14.1-1
fuse3 3.14.1-1
gawk 5.2.1-2
gc 8.2.2-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdb 13.1-3
gdb-common 13.1-3
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
gettext 0.21.1-5
ghostscript 10.01.1-1
giflib 5.2.1-2
git 2.40.1-1
glib-networking 1:2.76.0-1
glib2 2.76.2-1
glibc 2.37-3
glibmm 2.66.6-1
glslang 12.1.0-1
